file,status,match,tokens,multi,elapsed_s
C0101,ok,1,11326,3956,27.9
C0102,ok,1,11061,3965,22.4
C0103,ok,1,11031,3959,22.0
C0104,ok,0,10073,3696,18.5
C0105,ok,0,10207,3734,15.3
C0106,ok,0,10189,3736,15.3
C0107,ok,1,10044,3715,15.4
C0108,ok,1,9901,3691,15.0
C0109,ok,1,12339,4131,16.9
C010A,ok,1,10237,3909,15.8
C010B,ok,1,10187,3917,15.9
C010C,ok,0,10175,3727,15.3
C010D,ok,0,10136,3718,15.3
C010E,ok,0,7948,2147,10.6
C0181,ok,1,11598,4275,16.6
C0182,ok,1,11553,4329,17.0
C0183,ok,1,11522,4318,17.0
C0184,ok,1,10084,3950,15.8
C0185,ok,1,10223,3987,16.1
C0186,ok,1,10149,3950,15.8
C0187,ok,1,10467,4004,16.0
C0188,ok,1,10322,3997,15.9
C0189,ok,1,12976,4609,17.9
C018A,ok,1,10707,4276,16.7
C018B,ok,1,10660,4272,16.7
C018C,ok,1,10170,3966,16.0
C018D,ok,1,10101,3943,16.2
C0201,ok,1,9866,3825,15.4
C0202,ok,1,10802,4310,16.4
C0203,ok,1,10507,4389,16.8
C0204,ok,0,10963,4337,17.0
C0205,ok,0,5678,2243,10.2
C0206,ok,0,6185,2254,10.5
C0207,ok,0,14159,5027,19.5
C0208,ok,1,14327,5132,19.9
C0209,ok,0,14035,4963,19.3
C020A,ok,0,6185,2278,10.3
C0301,ok,0,10866,3807,15.3
C0302,ok,1,10370,3714,15.4
C0303,ok,1,12033,4184,17.2
C0304,ok,1,12556,4364,17.1
C0305,ok,1,12686,4382,17.1
C0306,ok,0,10744,3819,15.4
C0307,ok,0,10599,3825,15.6
C0308,ok,1,12656,3912,16.2
C0309,ok,1,10385,3723,15.5
C030A,ok,0,10603,3826,15.8
C030B,ok,1,10748,4068,16.1
C030C,ok,1,10488,2544,12.8
C030D,ok,1,10486,2541,12.4
C030E,ok,0,10829,3795,15.5
C030F,ok,1,11966,4186,17.0
C0310,ok,0,10853,3812,15.8
C0311,ok,1,11944,4184,17.1
C0312,ok,1,11749,4197,17.0
C0313,ok,1,10752,3975,16.3
C0314,ok,1,11684,4211,16.8
C0401,ok,1,11933,4173,16.8
C0402,ok,1,10422,3608,15.2
C0403,ok,0,13325,4450,17.8
C0404,ok,1,9153,3624,14.7
C0405,ok,1,11987,4182,17.3
C0406,ok,1,12878,4502,18.1
C0407,ok,1,11317,3995,16.5
C0408,ok,1,12014,4182,16.8
C0409,ok,0,13341,4458,17.8
C040A,ok,1,9357,3675,14.8
C040B,ok,1,10254,3571,15.1
C040C,ok,1,12145,4269,17.5
C040D,ok,1,10277,3577,14.8
C040E,ok,1,9610,2817,13.1
C040F,ok,1,9650,2809,13.1
C0410,ok,1,9637,2809,13.1
C0411,ok,1,9662,2807,12.8
C0412,ok,1,10454,3611,15.1
C0413,ok,1,11147,3992,16.0
C0414,ok,1,11176,4004,15.8
C0415,ok,1,9482,3776,15.5
C0416,ok,1,9479,3748,15.5
C0417,ok,1,8376,2633,12.1
C0418,ok,1,8330,2625,12.0
C0501,ok,1,9868,4022,15.9
C0502,ok,1,11663,4357,17.0
C0503,ok,1,12471,4382,17.0
C0504,ok,1,9874,4016,16.1
C0505,ok,1,9552,3982,16.3
C0506,ok,0,9825,3749,15.3
C0507,ok,0,9731,3727,15.3
C0508,ok,1,10207,3850,15.8
C0509,ok,1,10180,3876,15.8
C050A,ok,1,10200,3858,15.9
C050B,ok,1,8924,3574,14.6
C050C,ok,1,8867,3574,14.7
C050D,ok,1,15263,5117,20.1
C050E,ok,1,15262,5114,19.8
C050F,ok,1,11535,4355,16.9
C0510,ok,1,19087,4943,20.7
C0511,ok,1,9860,3824,15.6
C0512,ok,0,9531,3702,14.8
C0513,ok,0,9787,3734,15.1
C0514,ok,1,16981,5097,20.1
C0515,ok,1,5956,1875,9.6
C0516,ok,1,5980,1851,9.6
C0517,ok,0,14678,4410,17.8
C0518,ok,1,10224,3856,15.7
C0601,ok,0,10395,3911,15.8
C0602,ok,1,8753,3512,14.1
C0603,ok,1,9359,3668,14.9
C0604,ok,1,8664,3581,14.5
C0605,ok,1,9344,3666,14.5
C0606,ok,1,9348,3673,14.5
C0607,ok,1,15421,5038,19.4
C0608,ok,1,8750,3664,14.5
C0609,ok,1,8752,3663,14.6
C060A,ok,1,8711,3665,15.5
C060B,ok,1,8786,3685,16.7
C060C,ok,1,8784,3680,17.1
C060D,ok,1,8746,3687,17.4
C060E,ok,1,8656,3581,14.7
C060F,ok,1,8668,3565,14.5
C0610,ok,1,8669,3568,14.5
C0611,ok,1,11198,3752,15.3
C0612,ok,1,9310,3668,14.5
C0613,ok,1,9269,3641,14.5
C0614,ok,1,8476,3578,14.0
C0615,ok,0,8832,3415,13.8
C0616,ok,1,8430,3521,14.8
C0617,ok,1,8886,3490,14.3
C0618,ok,1,8671,3575,14.4
C0619,ok,1,5594,976,6.7
C0701,ok,1,11686,4372,16.5
C0702,ok,0,11997,3935,15.9
C0703,ok,0,11830,3835,15.5
C0704,ok,0,11869,3825,15.7
C0705,ok,1,12091,4168,16.6
C0706,ok,1,10112,3757,14.9
C0707,ok,0,9333,3475,14.3
C0708,ok,1,11666,4356,16.7
C0709,ok,0,11966,3933,15.6
C070A,ok,0,11838,3823,15.4
C070B,ok,0,11958,3945,15.8
C070C,ok,1,10110,3755,15.0
C070D,ok,1,12099,4167,16.4
C070E,ok,1,11676,4357,16.6
C070F,ok,0,12037,3945,16.1
C0710,ok,1,11926,4152,16.1
C0711,ok,0,9169,3298,13.7
C0801,ok,1,12153,4233,17.0
C0802,ok,1,14267,5060,19.6
C0803,ok,1,12429,4743,17.9
C0804,ok,1,10976,3977,16.2
C0805,ok,1,10023,3925,15.6
C0806,ok,1,14171,5055,19.6
C0807,ok,1,13115,4393,17.9
C0808,ok,1,14530,5105,19.9
C0809,ok,1,13119,4368,17.6
C080A,ok,1,12763,4375,17.3
C080B,ok,1,12090,4226,16.8
C080C,ok,1,10857,3970,16.1
C080D,ok,1,9946,3909,16.0
C080E,ok,1,13144,4354,17.6
C0901,ok,0,9425,3208,14.2
C0902,ok,0,9229,3203,14.6
C0903,ok,0,9436,3208,14.7
C0904,ok,1,9737,3497,14.6
C0A01,ok,1,16542,5389,21.7
C0A02,ok,1,14311,4855,18.7
C0A03,ok,0,10973,4255,16.4
C0A04,ok,0,10820,4230,16.5
C0A05,ok,1,14205,4889,18.5
C0A06,ok,1,14105,4856,18.4
C0B01,ok,1,14196,5298,20.3
C0C01,ok,1,10569,3608,15.6
C0C02,ok,1,11841,4349,17.2
C0C03,ok,1,10406,3604,15.6
C0D01,ok,1,30813,10844,37.1
C0D02,ok,0,11524,4197,16.4
C0E01,ok,0,10410,3859,15.5
C0E02,ok,0,10490,3870,15.6
C0E03,ok,1,12786,4342,16.5
C0E04,ok,1,14313,4321,17.1
C0F01,ok,1,11583,4472,18.0
C0F02,ok,1,11577,4469,17.6
C0F03,ok,1,11595,4464,17.8
C1001,ok,0,241,50,0.4
C1002,ok,1,283,53,0.5
C1101,ok,0,5874,1138,7.7
C1201,ok,1,10197,3926,15.3
C1202,ok,1,10238,3899,15.5
